category,group,measure,year,value,chart
Shared Income Quintile,2nd quintile,per capita cash,2015.0,19446.402,mean.income
Shared Income Quintile,3rd quintile,per capita cash,2015.0,29473.327,mean.income
Shared Income Quintile,4th quintile,per capita cash,2015.0,44360.014,mean.income
Shared Income Quintile,top quintile,per capita cash,2015.0,86911.082,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,per capita cash,2015.0,13671.191,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,per capita cash,2015.0,24327.964,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,per capita cash,2015.0,32130.811,mean.income
Shared Lifetime Earnings Quintile,4th quintile,per capita cash,2015.0,43804.32,mean.income
Shared Lifetime Earnings Quintile,top quintile,per capita cash,2015.0,75499.54,mean.income
Homeownership,Home Owner,per capita cash,2015.0,42128.33,mean.income
Homeownership,Renter,per capita cash,2015.0,21046.124,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita cash,2015.0,7017.601,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita cash,2015.0,15240.36,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita cash,2015.0,25229.919,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita cash,2015.0,64346.77,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita cash,2015.0,20649.498,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita cash,2015.0,26167.215,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita cash,2015.0,30286.919,mean.income
Per Capita Retirement Account Assets ($2015),25k +,per capita cash,2015.0,54565.761,mean.income
Per Capita Financial Assets ($2015),<0k,per capita cash,2015.0,13479.092,mean.income
Per Capita Financial Assets ($2015),0k -  5k,per capita cash,2015.0,22353.944,mean.income
Per Capita Financial Assets ($2015),5k - 25k,per capita cash,2015.0,29543.14,mean.income
Per Capita Financial Assets ($2015),25k +,per capita cash,2015.0,48602.029,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita cash,2015.0,12606.564,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita cash,2015.0,17006.668,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita cash,2015.0,21625.108,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita cash,2015.0,46372.042,mean.income
All,All,net per capita annuity,2015.0,51488.681,mean.income
Age,62-69,net per capita annuity,2015.0,52043.23,mean.income
Age,70-74,net per capita annuity,2015.0,53679.48,mean.income
Age,75-79,net per capita annuity,2015.0,49237.992,mean.income
Age,80-84,net per capita annuity,2015.0,54101.662,mean.income
Age,85+,net per capita annuity,2015.0,44978.577,mean.income
Sex,Female,net per capita annuity,2015.0,47298.394,mean.income
Sex,Male,net per capita annuity,2015.0,56558.536,mean.income
Education,1.High School Dropout,net per capita annuity,2015.0,22171.963,mean.income
Education,2.High School Graduate,net per capita annuity,2015.0,38064.803,mean.income
Education,3.Some College,net per capita annuity,2015.0,52846.207,mean.income
Education,4.College Graduate,net per capita annuity,2015.0,86869.919,mean.income
Race Ethnicity,1.White,net per capita annuity,2015.0,58816.807,mean.income
Race Ethnicity,2.Black,net per capita annuity,2015.0,27554.793,mean.income
Race Ethnicity,3.Hispanic,net per capita annuity,2015.0,23157.044,mean.income
Race Ethnicity,4.Other,net per capita annuity,2015.0,43621.041,mean.income
Marital Status,Married,net per capita annuity,2015.0,52799.373,mean.income
Marital Status,Widowed,net per capita annuity,2015.0,50615.967,mean.income
Marital Status,Divorced,net per capita annuity,2015.0,51607.549,mean.income
Marital Status,Single,net per capita annuity,2015.0,42508.033,mean.income
Shared Work Years,0-9,net per capita annuity,2015.0,6955.94,mean.income
Shared Work Years,10-14,net per capita annuity,2015.0,20622.302,mean.income
Shared Work Years,15-19,net per capita annuity,2015.0,27539.235,mean.income
Shared Work Years,20-24,net per capita annuity,2015.0,31471.125,mean.income
Shared Work Years,25-29,net per capita annuity,2015.0,40269.824,mean.income
Shared Work Years,30-34,net per capita annuity,2015.0,45252.453,mean.income
Shared Work Years,35-39,net per capita annuity,2015.0,49502.745,mean.income
Shared Work Years,40+,net per capita annuity,2015.0,69014.22,mean.income
Own Work Years,0-9,net per capita annuity,2015.0,20538.49,mean.income
Own Work Years,10-14,net per capita annuity,2015.0,28130.867,mean.income
Own Work Years,15-19,net per capita annuity,2015.0,34704.831,mean.income
Own Work Years,20-24,net per capita annuity,2015.0,33863.493,mean.income
Own Work Years,25-29,net per capita annuity,2015.0,38802.892,mean.income
Own Work Years,30-34,net per capita annuity,2015.0,43050.548,mean.income
Own Work Years,35-39,net per capita annuity,2015.0,48717.162,mean.income
Own Work Years,40+,net per capita annuity,2015.0,66304.302,mean.income
Shared Income Quintile,bottom quintile,net per capita annuity,2015.0,8634.614,mean.income
Shared Income Quintile,2nd quintile,net per capita annuity,2015.0,21589.038,mean.income
Shared Income Quintile,3rd quintile,net per capita annuity,2015.0,34625.599,mean.income
Shared Income Quintile,4th quintile,net per capita annuity,2015.0,54094.135,mean.income
Shared Income Quintile,top quintile,net per capita annuity,2015.0,138514.462,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,net per capita annuity,2015.0,15256.209,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,net per capita annuity,2015.0,32051.53,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,net per capita annuity,2015.0,41793.279,mean.income
Shared Lifetime Earnings Quintile,4th quintile,net per capita annuity,2015.0,57682.758,mean.income
Shared Lifetime Earnings Quintile,top quintile,net per capita annuity,2015.0,110666.045,mean.income
Homeownership,Home Owner,net per capita annuity,2015.0,57969.267,mean.income
Homeownership,Renter,net per capita annuity,2015.0,25765.028,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,net per capita annuity,2015.0,9872.032,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,net per capita annuity,2015.0,21749.706,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,net per capita annuity,2015.0,39726.951,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,net per capita annuity,2015.0,82991.036,mean.income
Per Capita Retirement Account Assets ($2015),<0k,net per capita annuity,2015.0,25760.185,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,net per capita annuity,2015.0,33945.259,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,net per capita annuity,2015.0,38648.56,mean.income
Per Capita Retirement Account Assets ($2015),25k +,net per capita annuity,2015.0,76776.43,mean.income
Per Capita Financial Assets ($2015),<0k,net per capita annuity,2015.0,11846.416,mean.income
Per Capita Financial Assets ($2015),0k -  5k,net per capita annuity,2015.0,21745.999,mean.income
Per Capita Financial Assets ($2015),5k - 25k,net per capita annuity,2015.0,29821.073,mean.income
Per Capita Financial Assets ($2015),25k +,net per capita annuity,2015.0,73393.036,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,net per capita annuity,2015.0,10998.823,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,net per capita annuity,2015.0,16372.415,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,net per capita annuity,2015.0,21511.429,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,net per capita annuity,2015.0,66097.87,mean.income
All,All,net per capita cash,2015.0,30820.112,mean.income
Age,62-69,net per capita cash,2015.0,32987.152,mean.income
Age,70-74,net per capita cash,2015.0,33625.984,mean.income
Age,75-79,net per capita cash,2015.0,29426.73,mean.income
Age,80-84,net per capita cash,2015.0,26505.528,mean.income
Age,85+,net per capita cash,2015.0,21206.226,mean.income
Sex,Female,net per capita cash,2015.0,29246.746,mean.income
Sex,Male,net per capita cash,2015.0,32723.738,mean.income
Education,1.High School Dropout,net per capita cash,2015.0,15172.79,mean.income
Education,2.High School Graduate,net per capita cash,2015.0,25269.556,mean.income
Education,3.Some College,net per capita cash,2015.0,34180.702,mean.income
Education,4.College Graduate,net per capita cash,2015.0,45407.267,mean.income
Race Ethnicity,1.White,net per capita cash,2015.0,34033.628,mean.income
Race Ethnicity,2.Black,net per capita cash,2015.0,22657.879,mean.income
Race Ethnicity,3.Hispanic,net per capita cash,2015.0,17470.1,mean.income
Race Ethnicity,4.Other,net per capita cash,2015.0,24659.701,mean.income
Marital Status,Married,net per capita cash,2015.0,32177.035,mean.income
Marital Status,Widowed,net per capita cash,2015.0,29038.073,mean.income
Marital Status,Divorced,net per capita cash,2015.0,29676.598,mean.income
Marital Status,Single,net per capita cash,2015.0,27151.924,mean.income
Shared Work Years,0-9,net per capita cash,2015.0,5315.257,mean.income
Shared Work Years,10-14,net per capita cash,2015.0,11971.548,mean.income
Shared Work Years,15-19,net per capita cash,2015.0,16077.274,mean.income
Shared Work Years,20-24,net per capita cash,2015.0,19071.546,mean.income
Shared Work Years,25-29,net per capita cash,2015.0,22465.716,mean.income
Shared Work Years,30-34,net per capita cash,2015.0,26341.416,mean.income
Shared Work Years,35-39,net per capita cash,2015.0,30583.678,mean.income
Shared Work Years,40+,net per capita cash,2015.0,41410.266,mean.income
Own Work Years,0-9,net per capita cash,2015.0,11515.614,mean.income
Own Work Years,10-14,net per capita cash,2015.0,17165.491,mean.income
Own Work Years,15-19,net per capita cash,2015.0,19500.609,mean.income
Own Work Years,20-24,net per capita cash,2015.0,21474.628,mean.income
Own Work Years,25-29,net per capita cash,2015.0,23295.558,mean.income
Own Work Years,30-34,net per capita cash,2015.0,27563.582,mean.income
Own Work Years,35-39,net per capita cash,2015.0,29146.306,mean.income
Own Work Years,40+,net per capita cash,2015.0,39444.508,mean.income
Shared Income Quintile,bottom quintile,net per capita cash,2015.0,7326.698,mean.income
Shared Income Quintile,2nd quintile,net per capita cash,2015.0,17230.407,mean.income
Shared Income Quintile,3rd quintile,net per capita cash,2015.0,26040.463,mean.income
Shared Income Quintile,4th quintile,net per capita cash,2015.0,37791.157,mean.income
Shared Income Quintile,top quintile,net per capita cash,2015.0,65719.592,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,net per capita cash,2015.0,11263.046,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,net per capita cash,2015.0,21051.544,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,net per capita cash,2015.0,27720.483,mean.income
Shared Lifetime Earnings Quintile,4th quintile,net per capita cash,2015.0,36784.172,mean.income
Shared Lifetime Earnings Quintile,top quintile,net per capita cash,2015.0,57284.732,mean.income
Homeownership,Home Owner,net per capita cash,2015.0,34144.953,mean.income
Homeownership,Renter,net per capita cash,2015.0,17622.687,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,net per capita cash,2015.0,5153.589,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,net per capita cash,2015.0,13270.277,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,net per capita cash,2015.0,22425.585,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,net per capita cash,2015.0,50692.783,mean.income
Per Capita Retirement Account Assets ($2015),<0k,net per capita cash,2015.0,17529.324,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,net per capita cash,2015.0,22160.124,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,net per capita cash,2015.0,25777.388,mean.income
Per Capita Retirement Account Assets ($2015),25k +,net per capita cash,2015.0,43435.634,mean.income
Per Capita Financial Assets ($2015),<0k,net per capita cash,2015.0,11076.244,mean.income
Per Capita Financial Assets ($2015),0k -  5k,net per capita cash,2015.0,19179.46,mean.income
Per Capita Financial Assets ($2015),5k - 25k,net per capita cash,2015.0,25008.172,mean.income
Per Capita Financial Assets ($2015),25k +,net per capita cash,2015.0,38870.092,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,net per capita cash,2015.0,10361.581,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,net per capita cash,2015.0,14537.844,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,net per capita cash,2015.0,18557.694,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,net per capita cash,2015.0,37428.258,mean.income
All,All,per capita annuity,2025.0,63084.693,mean.income
Age,62-69,per capita annuity,2025.0,59232.488,mean.income
Age,70-74,per capita annuity,2025.0,65639.568,mean.income
Age,75-79,per capita annuity,2025.0,63966.774,mean.income
Age,80-84,per capita annuity,2025.0,68902.635,mean.income
Age,85+,per capita annuity,2025.0,67276.757,mean.income
Sex,Female,per capita annuity,2025.0,60947.399,mean.income
Sex,Male,per capita annuity,2025.0,65575.739,mean.income
Education,1.High School Dropout,per capita annuity,2025.0,23526.762,mean.income
Education,2.High School Graduate,per capita annuity,2025.0,44105.352,mean.income
Education,3.Some College,per capita annuity,2025.0,62216.673,mean.income
Education,4.College Graduate,per capita annuity,2025.0,104893.148,mean.income
Race Ethnicity,1.White,per capita annuity,2025.0,72840.71,mean.income
Race Ethnicity,2.Black,per capita annuity,2025.0,36314.198,mean.income
Race Ethnicity,3.Hispanic,per capita annuity,2025.0,31181.149,mean.income
Race Ethnicity,4.Other,per capita annuity,2025.0,55657.043,mean.income
Marital Status,Married,per capita annuity,2025.0,63532.127,mean.income
Marital Status,Widowed,per capita annuity,2025.0,68791.744,mean.income
Marital Status,Divorced,per capita annuity,2025.0,58896.256,mean.income
Marital Status,Single,per capita annuity,2025.0,54747.837,mean.income
Shared Work Years,0-9,per capita annuity,2025.0,8677.094,mean.income
Shared Work Years,10-14,per capita annuity,2025.0,20207.374,mean.income
Shared Work Years,15-19,per capita annuity,2025.0,30507.519,mean.income
Shared Work Years,20-24,per capita annuity,2025.0,33069.477,mean.income
Shared Work Years,25-29,per capita annuity,2025.0,42771.285,mean.income
Shared Work Years,30-34,per capita annuity,2025.0,49151.634,mean.income
Shared Work Years,35-39,per capita annuity,2025.0,56894.646,mean.income
Shared Work Years,40+,per capita annuity,2025.0,82621.06,mean.income
Own Work Years,0-9,per capita annuity,2025.0,22505.212,mean.income
Own Work Years,10-14,per capita annuity,2025.0,29573.469,mean.income
Own Work Years,15-19,per capita annuity,2025.0,39151.267,mean.income
Own Work Years,20-24,per capita annuity,2025.0,38477.765,mean.income
Own Work Years,25-29,per capita annuity,2025.0,42660.593,mean.income
Own Work Years,30-34,per capita annuity,2025.0,46351.714,mean.income
Own Work Years,35-39,per capita annuity,2025.0,52135.772,mean.income
Own Work Years,40+,per capita annuity,2025.0,80499.462,mean.income
Shared Income Quintile,bottom quintile,per capita annuity,2025.0,11361.992,mean.income
Shared Income Quintile,2nd quintile,per capita annuity,2025.0,25145.222,mean.income
Shared Income Quintile,3rd quintile,per capita annuity,2025.0,40642.101,mean.income
Shared Income Quintile,4th quintile,per capita annuity,2025.0,65353.184,mean.income
Shared Income Quintile,top quintile,per capita annuity,2025.0,172932.296,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,per capita annuity,2025.0,17755.286,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,per capita annuity,2025.0,34914.543,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,per capita annuity,2025.0,49035.26,mean.income
Shared Lifetime Earnings Quintile,4th quintile,per capita annuity,2025.0,71281.656,mean.income
Shared Lifetime Earnings Quintile,top quintile,per capita annuity,2025.0,142439.366,mean.income
Homeownership,Home Owner,per capita annuity,2025.0,71481.897,mean.income
Homeownership,Renter,per capita annuity,2025.0,30367.347,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita annuity,2025.0,11856.229,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita annuity,2025.0,22303.009,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita annuity,2025.0,40699.337,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita annuity,2025.0,100663.651,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita annuity,2025.0,27266.614,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita annuity,2025.0,32175.859,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita annuity,2025.0,41845.435,mean.income
Per Capita Retirement Account Assets ($2015),25k +,per capita annuity,2025.0,91977.842,mean.income
Per Capita Financial Assets ($2015),<0k,per capita annuity,2025.0,14396.411,mean.income
Per Capita Financial Assets ($2015),0k -  5k,per capita annuity,2025.0,27050.761,mean.income
Per Capita Financial Assets ($2015),5k - 25k,per capita annuity,2025.0,35832.434,mean.income
Per Capita Financial Assets ($2015),25k +,per capita annuity,2025.0,87231.546,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita annuity,2025.0,12449.277,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita annuity,2025.0,18729.113,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita annuity,2025.0,23761.429,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita annuity,2025.0,78200.765,mean.income
All,All,per capita cash,2025.0,40742.568,mean.income
Age,62-69,per capita cash,2025.0,41717.615,mean.income
Age,70-74,per capita cash,2025.0,44833.284,mean.income
Age,75-79,per capita cash,2025.0,40355.011,mean.income
Age,80-84,per capita cash,2025.0,36867.379,mean.income
Age,85+,per capita cash,2025.0,31336.527,mean.income
Sex,Female,per capita cash,2025.0,40435.798,mean.income
Sex,Male,per capita cash,2025.0,41100.113,mean.income
Education,1.High School Dropout,per capita cash,2025.0,18123.575,mean.income
Education,2.High School Graduate,per capita cash,2025.0,31864.806,mean.income
Education,3.Some College,per capita cash,2025.0,43342.053,mean.income
Education,4.College Graduate,per capita cash,2025.0,59842.152,mean.income
Race Ethnicity,1.White,per capita cash,2025.0,45510.732,mean.income
Race Ethnicity,2.Black,per capita cash,2025.0,30367.927,mean.income
Race Ethnicity,3.Hispanic,per capita cash,2025.0,24184.463,mean.income
Race Ethnicity,4.Other,per capita cash,2025.0,34299.653,mean.income
Marital Status,Married,per capita cash,2025.0,41417.608,mean.income
Marital Status,Widowed,per capita cash,2025.0,40658.729,mean.income
Marital Status,Divorced,per capita cash,2025.0,38859.535,mean.income
Marital Status,Single,per capita cash,2025.0,39541.376,mean.income
Shared Work Years,0-9,per capita cash,2025.0,7458.344,mean.income
Shared Work Years,10-14,per capita cash,2025.0,15338.313,mean.income
Shared Work Years,15-19,per capita cash,2025.0,20293.627,mean.income
Shared Work Years,20-24,per capita cash,2025.0,22089.967,mean.income
Shared Work Years,25-29,per capita cash,2025.0,28117.786,mean.income
Shared Work Years,30-34,per capita cash,2025.0,32261.939,mean.income
Shared Work Years,35-39,per capita cash,2025.0,37058.03,mean.income
Shared Work Years,40+,per capita cash,2025.0,52714.412,mean.income
Own Work Years,0-9,per capita cash,2025.0,14308.658,mean.income
Own Work Years,10-14,per capita cash,2025.0,21214.632,mean.income
Own Work Years,15-19,per capita cash,2025.0,23767.745,mean.income
Own Work Years,20-24,per capita cash,2025.0,25938.943,mean.income
Own Work Years,25-29,per capita cash,2025.0,28002.842,mean.income
Own Work Years,30-34,per capita cash,2025.0,31862.871,mean.income
Own Work Years,35-39,per capita cash,2025.0,35474.514,mean.income
Own Work Years,40+,per capita cash,2025.0,51257.168,mean.income
Shared Income Quintile,bottom quintile,per capita cash,2025.0,10146.64,mean.income
Shared Income Quintile,2nd quintile,per capita cash,2025.0,20877.992,mean.income
Shared Income Quintile,3rd quintile,per capita cash,2025.0,32405.782,mean.income
Shared Income Quintile,4th quintile,per capita cash,2025.0,49158.113,mean.income
Shared Income Quintile,top quintile,per capita cash,2025.0,91131.095,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,per capita cash,2025.0,14343.618,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,per capita cash,2025.0,26271.585,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,per capita cash,2025.0,35669.778,mean.income
Shared Lifetime Earnings Quintile,4th quintile,per capita cash,2025.0,48944.744,mean.income
Shared Lifetime Earnings Quintile,top quintile,per capita cash,2025.0,78484.68,mean.income
Homeownership,Home Owner,per capita cash,2025.0,45277.551,mean.income
Homeownership,Renter,per capita cash,2025.0,23073.283,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita cash,2025.0,6789.939,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita cash,2025.0,15232.042,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita cash,2025.0,25587.552,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita cash,2025.0,65250.253,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita cash,2025.0,20158.694,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita cash,2025.0,24096.754,mean.income
