category,group,year,option,scale,baseline,Average annuity income,Average cash income,Average net annuity income,Average net cash income
Age,62-69,2015,Annual primary insurance amount,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Annual primary insurance amount,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Basic minimum benefit,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Basic minimum benefit,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Basic minimum benefit,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Basic minimum benefit,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Bipartisan Policy Center package,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Bipartisan Policy Center package,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Bipartisan Policy Center package,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Bipartisan Policy Center package,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Cap COLA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Cap COLA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Cap COLA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Cap COLA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Cap spouse benefits,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Cap spouse benefits,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Cap spouse benefits,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Cap spouse benefits,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Chained-CPI COLA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Chained-CPI COLA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Chained-CPI COLA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Chained-CPI COLA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Eliminate the tax max,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Eliminate the tax max,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Eliminate the tax max,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Eliminate the tax max,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase benefits taxation,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase benefits taxation,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase benefits taxation,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase benefits taxation,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase COLA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase COLA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase COLA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase COLA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase FRA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase FRA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase FRA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase FRA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase FRA and EEA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase FRA and EEA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Increase FRA and EEA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Increase FRA and EEA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Payable law,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Payable law,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Payable law,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Payable law,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Reduce COLA,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Reduce COLA,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Reduce COLA,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Reduce COLA,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Scheduled law,equivalent,Payable law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Scheduled law,equivalent,Scheduled law,77652.548,52866.677,67359.364,42573.493
Age,62-69,2015,Scheduled law,per capita,Payable law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2015,Scheduled law,per capita,Scheduled law,60907.836,41601.192,52730.153,33423.508
Age,62-69,2025,"$150,000 tax max",equivalent,Payable law,75124.809,52576.433,65048.055,42499.68
Age,62-69,2025,"$150,000 tax max",equivalent,Scheduled law,75124.809,52576.433,65048.055,42499.68
Age,62-69,2025,"$150,000 tax max",per capita,Payable law,59602.734,41835.886,51345.72,33578.872
Age,62-69,2025,"$150,000 tax max",per capita,Scheduled law,59602.734,41835.886,51345.72,33578.872
Age,62-69,2025,"$180,000 tax max",equivalent,Payable law,75111.675,52564.053,65019.63,42472.008
Age,62-69,2025,"$180,000 tax max",equivalent,Scheduled law,75111.675,52564.053,65019.63,42472.008
Age,62-69,2025,"$180,000 tax max",per capita,Payable law,59592.154,41825.904,51323.077,33556.828
Age,62-69,2025,"$180,000 tax max",per capita,Scheduled law,59592.154,41825.904,51323.077,33556.828
Age,62-69,2025,13.4% payroll tax,equivalent,Payable law,75019.427,52469.668,64870.721,42320.961
Age,62-69,2025,13.4% payroll tax,equivalent,Scheduled law,75019.427,52469.668,64870.721,42320.961
Age,62-69,2025,13.4% payroll tax,per capita,Payable law,59519.421,41751.669,51205.211,33437.459
Age,62-69,2025,13.4% payroll tax,per capita,Scheduled law,59519.421,41751.669,51205.211,33437.459
Age,62-69,2025,14.4% payroll tax,equivalent,Payable law,74901.283,52349.598,64665.929,42114.244
Age,62-69,2025,14.4% payroll tax,equivalent,Scheduled law,74901.283,52349.598,64665.929,42114.244
Age,62-69,2025,14.4% payroll tax,per capita,Payable law,59425.663,41655.702,51042.466,33272.504
Age,62-69,2025,14.4% payroll tax,per capita,Scheduled law,59425.663,41655.702,51042.466,33272.504
Age,62-69,2025,15.4% payroll tax,equivalent,Payable law,74671.699,52189.101,64362.774,41880.175
Age,62-69,2025,15.4% payroll tax,equivalent,Scheduled law,74671.699,52189.101,64362.774,41880.175
Age,62-69,2025,15.4% payroll tax,per capita,Payable law,59251.487,41531.822,50808.956,33089.292
Age,62-69,2025,15.4% payroll tax,per capita,Scheduled law,59251.487,41531.822,50808.956,33089.292
Age,62-69,2025,75% survivor benefit,equivalent,Payable law,74965.668,52416.757,64918.753,42369.843
Age,62-69,2025,75% survivor benefit,equivalent,Scheduled law,74965.668,52416.757,64918.753,42369.843
Age,62-69,2025,75% survivor benefit,per capita,Payable law,59488.708,41721.415,51254.336,33487.043
Age,62-69,2025,75% survivor benefit,per capita,Scheduled law,59488.708,41721.415,51254.336,33487.043
Age,62-69,2025,90% tax max,equivalent,Payable law,75074.92,52528.437,64947.876,42401.394
Age,62-69,2025,90% tax max,equivalent,Scheduled law,75074.92,52528.437,64947.876,42401.394
Age,62-69,2025,90% tax max,per capita,Payable law,59563.064,41797.734,51266.474,33501.144
Age,62-69,2025,90% tax max,per capita,Scheduled law,59563.064,41797.734,51266.474,33501.144
Age,62-69,2025,90% tax max and 13.4% payroll tax,equivalent,Payable law,74949.207,52402.249,64731.149,42184.191
Age,62-69,2025,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,74949.207,52402.249,64731.149,42184.191
Age,62-69,2025,90% tax max and 13.4% payroll tax,per capita,Payable law,59463.542,41698.024,51094.614,33329.096
Age,62-69,2025,90% tax max and 13.4% payroll tax,per capita,Scheduled law,59463.542,41698.024,51094.614,33329.096
Age,62-69,2025,Annual primary insurance amount,equivalent,Payable law,75206.099,52657.188,65137.745,42588.834
Age,62-69,2025,Annual primary insurance amount,equivalent,Scheduled law,75206.099,52657.188,65137.745,42588.834
Age,62-69,2025,Annual primary insurance amount,per capita,Payable law,59667.484,41900.191,51417.153,33649.86
Age,62-69,2025,Annual primary insurance amount,per capita,Scheduled law,59667.484,41900.191,51417.153,33649.86
Age,62-69,2025,Basic minimum benefit,equivalent,Payable law,75225.455,52676.544,65162.207,42613.297
Age,62-69,2025,Basic minimum benefit,equivalent,Scheduled law,75225.455,52676.544,65162.207,42613.297
Age,62-69,2025,Basic minimum benefit,per capita,Payable law,59698.024,41930.731,51451.553,33684.26
Age,62-69,2025,Basic minimum benefit,per capita,Scheduled law,59698.024,41930.731,51451.553,33684.26
Age,62-69,2025,Bipartisan Policy Center package,equivalent,Payable law,74727.809,52086.971,64687.379,42046.541
Age,62-69,2025,Bipartisan Policy Center package,equivalent,Scheduled law,74727.809,52086.971,64687.379,42046.541
Age,62-69,2025,Bipartisan Policy Center package,per capita,Payable law,59311.14,41470.516,51082.474,33241.849
Age,62-69,2025,Bipartisan Policy Center package,per capita,Scheduled law,59311.14,41470.516,51082.474,33241.849
Age,62-69,2025,Cap COLA,equivalent,Payable law,74973.029,52424.068,64933.682,42384.721
Age,62-69,2025,Cap COLA,equivalent,Scheduled law,74973.029,52424.068,64933.682,42384.721
Age,62-69,2025,Cap COLA,per capita,Payable law,59483.685,41716.342,51256.031,33488.688
Age,62-69,2025,Cap COLA,per capita,Scheduled law,59483.685,41716.342,51256.031,33488.688
Age,62-69,2025,Cap spouse benefits,equivalent,Payable law,75136.683,52587.773,65111.972,42563.061
Age,62-69,2025,Cap spouse benefits,equivalent,Scheduled law,75136.683,52587.773,65111.972,42563.061
Age,62-69,2025,Cap spouse benefits,per capita,Payable law,59559.402,41792.109,51316.376,33549.083
Age,62-69,2025,Cap spouse benefits,per capita,Scheduled law,59559.402,41792.109,51316.376,33549.083
Age,62-69,2025,Chained-CPI COLA,equivalent,Payable law,74959.506,52410.545,64914.754,42365.794
Age,62-69,2025,Chained-CPI COLA,equivalent,Scheduled law,74959.506,52410.545,64914.754,42365.794
Age,62-69,2025,Chained-CPI COLA,per capita,Payable law,59471.077,41703.734,51239.174,33471.831
Age,62-69,2025,Chained-CPI COLA,per capita,Scheduled law,59471.077,41703.734,51239.174,33471.831
Age,62-69,2025,Eliminate the tax max,equivalent,Payable law,75110.806,52565.791,64972.461,42427.446
Age,62-69,2025,Eliminate the tax max,equivalent,Scheduled law,75110.806,52565.791,64972.461,42427.446
Age,62-69,2025,Eliminate the tax max,per capita,Payable law,59590.598,41826.41,51285.522,33521.334
Age,62-69,2025,Eliminate the tax max,per capita,Scheduled law,59590.598,41826.41,51285.522,33521.334
Age,62-69,2025,Increase benefits taxation,equivalent,Payable law,75065.024,52516.113,65006.396,42457.486
Age,62-69,2025,Increase benefits taxation,equivalent,Scheduled law,75065.024,52516.113,65006.396,42457.486
Age,62-69,2025,Increase benefits taxation,per capita,Payable law,59612.401,41845.108,51389.848,33622.555
Age,62-69,2025,Increase benefits taxation,per capita,Scheduled law,59612.401,41845.108,51389.848,33622.555
Age,62-69,2025,Increase COLA,equivalent,Payable law,75288.329,52739.441,65212.708,42663.819
Age,62-69,2025,Increase COLA,equivalent,Scheduled law,75288.329,52739.441,65212.708,42663.819
Age,62-69,2025,Increase COLA,per capita,Payable law,59734.597,41967.319,51478.646,33711.368
Age,62-69,2025,Increase COLA,per capita,Scheduled law,59734.597,41967.319,51478.646,33711.368
Age,62-69,2025,Increase FRA,equivalent,Payable law,75133.417,52584.507,65070.978,42522.067
Age,62-69,2025,Increase FRA,equivalent,Scheduled law,75133.417,52584.507,65070.978,42522.067
Age,62-69,2025,Increase FRA,per capita,Payable law,59609.776,41842.483,51364.046,33596.753
Age,62-69,2025,Increase FRA,per capita,Scheduled law,59609.776,41842.483,51364.046,33596.753
Age,62-69,2025,Increase FRA and EEA,equivalent,Payable law,75129.8,52580.889,65067.541,42518.631
Age,62-69,2025,Increase FRA and EEA,equivalent,Scheduled law,75129.8,52580.889,65067.541,42518.631
Age,62-69,2025,Increase FRA and EEA,per capita,Payable law,59607.328,41840.035,51361.697,33594.404
Age,62-69,2025,Increase FRA and EEA,per capita,Scheduled law,59607.328,41840.035,51361.697,33594.404
Age,62-69,2025,Payable law,equivalent,Payable law,75136.683,52587.773,65074.006,42525.096
Age,62-69,2025,Payable law,equivalent,Scheduled law,75136.683,52587.773,65074.006,42525.096
Age,62-69,2025,Payable law,per capita,Payable law,59612.401,41845.108,51366.485,33599.192
Age,62-69,2025,Payable law,per capita,Scheduled law,59612.401,41845.108,51366.485,33599.192
Age,62-69,2025,Reduce COLA,equivalent,Payable law,74912.629,52363.668,64869.654,42320.694
Age,62-69,2025,Reduce COLA,equivalent,Scheduled law,74912.629,52363.668,64869.654,42320.694
Age,62-69,2025,Reduce COLA,per capita,Payable law,59431.735,41664.392,51201.222,33433.879
Age,62-69,2025,Reduce COLA,per capita,Scheduled law,59431.735,41664.392,51201.222,33433.879
Age,62-69,2025,Scheduled law,equivalent,Payable law,75136.683,52587.773,65074.006,42525.096
Age,62-69,2025,Scheduled law,equivalent,Scheduled law,75136.683,52587.773,65074.006,42525.096
Age,62-69,2025,Scheduled law,per capita,Payable law,59612.401,41845.108,51366.485,33599.192
Age,62-69,2025,Scheduled law,per capita,Scheduled law,59612.401,41845.108,51366.485,33599.192
Age,62-69,2035,"$150,000 tax max",equivalent,Payable law,85757.694,60973.252,72172.905,47388.463
Age,62-69,2035,"$150,000 tax max",equivalent,Scheduled law,85757.694,60973.252,72172.905,47388.463
Age,62-69,2035,"$150,000 tax max",per capita,Payable law,69421.209,49101.015,58204.469,37884.275
Age,62-69,2035,"$150,000 tax max",per capita,Scheduled law,69421.209,49101.015,58204.469,37884.275
Age,62-69,2035,"$180,000 tax max",equivalent,Payable law,85771.342,60991.371,72164.077,47384.105
Age,62-69,2035,"$180,000 tax max",equivalent,Scheduled law,85771.342,60991.371,72164.077,47384.105
Age,62-69,2035,"$180,000 tax max",per capita,Payable law,69431.808,49115.011,58196.972,37880.175
Age,62-69,2035,"$180,000 tax max",per capita,Scheduled law,69431.808,49115.011,58196.972,37880.175
Age,62-69,2035,13.4% payroll tax,equivalent,Payable law,85594.417,60812.509,71941.275,47159.367
Age,62-69,2035,13.4% payroll tax,equivalent,Scheduled law,85594.417,60812.509,71941.275,47159.367
Age,62-69,2035,13.4% payroll tax,per capita,Payable law,69289.809,48972.162,58017.662,37700.014
Age,62-69,2035,13.4% payroll tax,per capita,Scheduled law,69289.809,48972.162,58017.662,37700.014
Age,62-69,2035,14.4% payroll tax,equivalent,Payable law,85438.986,60648.563,71689.94,46899.518
Age,62-69,2035,14.4% payroll tax,equivalent,Scheduled law,85438.986,60648.563,71689.94,46899.518
Age,62-69,2035,14.4% payroll tax,per capita,Payable law,69164.538,48837.79,57815.443,37488.695
Age,62-69,2035,14.4% payroll tax,per capita,Scheduled law,69164.538,48837.79,57815.443,37488.695
Age,62-69,2035,15.4% payroll tax,equivalent,Payable law,85132.412,60426.879,71305.91,46600.376
Age,62-69,2035,15.4% payroll tax,equivalent,Scheduled law,85132.412,60426.879,71305.91,46600.376
Age,62-69,2035,15.4% payroll tax,per capita,Payable law,68930.561,48665.62,57517.168,37252.227
Age,62-69,2035,15.4% payroll tax,per capita,Scheduled law,68930.561,48665.62,57517.168,37252.227
Age,62-69,2035,75% survivor benefit,equivalent,Payable law,84878.467,60091.457,71435.404,46648.394
Age,62-69,2035,75% survivor benefit,equivalent,Scheduled law,84878.467,60091.457,71435.404,46648.394
Age,62-69,2035,75% survivor benefit,per capita,Payable law,68796.786,48474.513,57683.786,37361.514
Age,62-69,2035,75% survivor benefit,per capita,Scheduled law,68796.786,48474.513,57683.786,37361.514
Age,62-69,2035,90% tax max,equivalent,Payable law,85784.456,61012.19,72120.732,47348.466
Age,62-69,2035,90% tax max,equivalent,Scheduled law,85784.456,61012.19,72120.732,47348.466
Age,62-69,2035,90% tax max,per capita,Payable law,69440.985,49130.128,58160.386,37849.529
Age,62-69,2035,90% tax max,per capita,Scheduled law,69440.985,49130.128,58160.386,37849.529
Age,62-69,2035,90% tax max and 13.4% payroll tax,equivalent,Payable law,85612.638,60830.711,71848.756,47066.828
Age,62-69,2035,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,85612.638,60830.711,71848.756,47066.828
Age,62-69,2035,90% tax max and 13.4% payroll tax,per capita,Payable law,69302.221,48981.943,57941.118,37620.84
Age,62-69,2035,90% tax max and 13.4% payroll tax,per capita,Scheduled law,69302.221,48981.943,57941.118,37620.84
Age,62-69,2035,Annual primary insurance amount,equivalent,Payable law,86994.985,62210.987,73302.857,48518.86
Age,62-69,2035,Annual primary insurance amount,equivalent,Scheduled law,86994.985,62210.987,73302.857,48518.86
Age,62-69,2035,Annual primary insurance amount,per capita,Payable law,70414.548,50094.509,59112.956,38792.917
Age,62-69,2035,Annual primary insurance amount,per capita,Scheduled law,70414.548,50094.509,59112.956,38792.917
Age,62-69,2035,Basic minimum benefit,equivalent,Payable law,85858.912,61072.651,72303.704,47517.443
Age,62-69,2035,Basic minimum benefit,equivalent,Scheduled law,85858.912,61072.651,72303.704,47517.443
Age,62-69,2035,Basic minimum benefit,per capita,Payable law,69519.506,49197.761,58326.406,38004.661
Age,62-69,2035,Basic minimum benefit,per capita,Scheduled law,69519.506,49197.761,58326.406,38004.661
Age,62-69,2035,Bipartisan Policy Center package,equivalent,Payable law,84394.283,59053.677,71007.116,45666.511
Age,62-69,2035,Bipartisan Policy Center package,equivalent,Scheduled law,84394.283,59053.677,71007.116,45666.511
Age,62-69,2035,Bipartisan Policy Center package,per capita,Payable law,68429.37,47662.072,57358.908,36591.611
Age,62-69,2035,Bipartisan Policy Center package,per capita,Scheduled law,68429.37,47662.072,57358.908,36591.611
Age,62-69,2035,Cap COLA,equivalent,Payable law,85525.544,60738.683,72006.746,47219.885
Age,62-69,2035,Cap COLA,equivalent,Scheduled law,85525.544,60738.683,72006.746,47219.885
Age,62-69,2035,Cap COLA,per capita,Payable law,69236.963,48914.794,58072.676,37750.507
Age,62-69,2035,Cap COLA,per capita,Scheduled law,69236.963,48914.794,58072.676,37750.507
Age,62-69,2035,Cap spouse benefits,equivalent,Payable law,85753.709,60967.448,72243.256,47456.994
Age,62-69,2035,Cap spouse benefits,equivalent,Scheduled law,85753.709,60967.448,72243.256,47456.994
Age,62-69,2035,Cap spouse benefits,per capita,Payable law,69208.65,48886.905,58035.943,37714.198
Age,62-69,2035,Cap spouse benefits,per capita,Scheduled law,69208.65,48886.905,58035.943,37714.198
Age,62-69,2035,Chained-CPI COLA,equivalent,Payable law,85536.893,60750.032,72006.106,47219.245
Age,62-69,2035,Chained-CPI COLA,equivalent,Scheduled law,85536.893,60750.032,72006.106,47219.245
Age,62-69,2035,Chained-CPI COLA,per capita,Payable law,69244.178,48922.009,58070.375,37748.206
Age,62-69,2035,Chained-CPI COLA,per capita,Scheduled law,69244.178,48922.009,58070.375,37748.206
Age,62-69,2035,Eliminate the tax max,equivalent,Payable law,85878.131,61109.593,72139.583,47371.044
Age,62-69,2035,Eliminate the tax max,equivalent,Scheduled law,85878.131,61109.593,72139.583,47371.044
Age,62-69,2035,Eliminate the tax max,per capita,Payable law,69511.816,49203.809,58172.374,37864.367
Age,62-69,2035,Eliminate the tax max,per capita,Scheduled law,69511.816,49203.809,58172.374,37864.367
Age,62-69,2035,Increase benefits taxation,equivalent,Payable law,85465.745,60679.484,71938.735,47152.474
Age,62-69,2035,Increase benefits taxation,equivalent,Scheduled law,85465.745,60679.484,71938.735,47152.474
Age,62-69,2035,Increase benefits taxation,per capita,Payable law,69418.355,49096.61,58250.165,37928.421
Age,62-69,2035,Increase benefits taxation,per capita,Scheduled law,69418.355,49096.61,58250.165,37928.421
Age,62-69,2035,Increase COLA,equivalent,Payable law,85955.869,61169.67,72383.4,47597.201
Age,62-69,2035,Increase COLA,equivalent,Scheduled law,85955.869,61169.67,72383.4,47597.201
Age,62-69,2035,Increase COLA,per capita,Payable law,69582.575,49260.874,58376.153,38054.452
Age,62-69,2035,Increase COLA,per capita,Scheduled law,69582.575,49260.874,58376.153,38054.452
Age,62-69,2035,Increase FRA,equivalent,Payable law,85350.66,60564.399,71856.651,47070.389
Age,62-69,2035,Increase FRA,equivalent,Scheduled law,85350.66,60564.399,71856.651,47070.389
Age,62-69,2035,Increase FRA,per capita,Payable law,69094.004,48772.26,57950.248,37628.504
Age,62-69,2035,Increase FRA,per capita,Scheduled law,69094.004,48772.26,57950.248,37628.504
Age,62-69,2035,Increase FRA and EEA,equivalent,Payable law,85273.3,60487.039,71783.733,46997.471
Age,62-69,2035,Increase FRA and EEA,equivalent,Scheduled law,85273.3,60487.039,71783.733,46997.471
Age,62-69,2035,Increase FRA and EEA,per capita,Payable law,69027.028,48705.283,57886.781,37565.036
Age,62-69,2035,Increase FRA and EEA,per capita,Scheduled law,69027.028,48705.283,57886.781,37565.036
Age,62-69,2035,Payable law,equivalent,Payable law,82393.149,57601.994,69159.941,44368.785
Age,62-69,2035,Payable law,equivalent,Scheduled law,82393.149,57601.994,69159.941,44368.785
Age,62-69,2035,Payable law,per capita,Payable law,66699.598,46373.461,55759.861,35433.724
Age,62-69,2035,Payable law,per capita,Scheduled law,66699.598,46373.461,55759.861,35433.724
Age,62-69,2035,Reduce COLA,equivalent,Payable law,85456.249,60668.617,71929.286,47141.654
Age,62-69,2035,Reduce COLA,equivalent,Scheduled law,85456.249,60668.617,71929.286,47141.654
Age,62-69,2035,Reduce COLA,per capita,Payable law,69176.327,48853.613,58005.483,37682.769
Age,62-69,2035,Reduce COLA,per capita,Scheduled law,69176.327,48853.613,58005.483,37682.769
Age,62-69,2035,Scheduled law,equivalent,Payable law,85753.709,60967.448,72199.354,47413.093
Age,62-69,2035,Scheduled law,equivalent,Scheduled law,85753.709,60967.448,72199.354,47413.093
Age,62-69,2035,Scheduled law,per capita,Payable law,69418.355,49096.61,58226.063,37904.319
Age,62-69,2035,Scheduled law,per capita,Scheduled law,69418.355,49096.61,58226.063,37904.319
Age,62-69,2045,"$150,000 tax max",equivalent,Payable law,91760.413,66085.646,75936.925,50262.158
Age,62-69,2045,"$150,000 tax max",equivalent,Scheduled law,91760.413,66085.646,75936.925,50262.158
Age,62-69,2045,"$150,000 tax max",per capita,Payable law,74517.619,53142.051,61536.395,40160.828
Age,62-69,2045,"$150,000 tax max",per capita,Scheduled law,74517.619,53142.051,61536.395,40160.828
Age,62-69,2045,"$180,000 tax max",equivalent,Payable law,91815.816,66149.472,75959.072,50292.728
Age,62-69,2045,"$180,000 tax max",equivalent,Scheduled law,91815.816,66149.472,75959.072,50292.728
Age,62-69,2045,"$180,000 tax max",per capita,Payable law,74562.18,53192.92,61555.144,40185.884
Age,62-69,2045,"$180,000 tax max",per capita,Scheduled law,74562.18,53192.92,61555.144,40185.884
Age,62-69,2045,13.4% payroll tax,equivalent,Payable law,91528.798,65859.44,75650.024,49980.667
Age,62-69,2045,13.4% payroll tax,equivalent,Scheduled law,91528.798,65859.44,75650.024,49980.667
Age,62-69,2045,13.4% payroll tax,per capita,Payable law,74331.328,52960.211,61304.454,39933.337
Age,62-69,2045,13.4% payroll tax,per capita,Scheduled law,74331.328,52960.211,61304.454,39933.337
Age,62-69,2045,14.4% payroll tax,equivalent,Payable law,91335.992,65677.135,75350.021,49691.163
Age,62-69,2045,14.4% payroll tax,equivalent,Scheduled law,91335.992,65677.135,75350.021,49691.163
