"category","group","measure","year","value"
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2015,-44
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2015,-63
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2015,-84
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2015,-138
"Homeownership","Home Owner","per capita annuity",2015,-77
"Homeownership","Renter","per capita annuity",2015,-32
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2015,-3
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2015,-9
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2015,44
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2015,-26
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2015,-44
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2015,-66
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2015,-60
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2015,-90
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2015,-13
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2015,-40
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2015,-48
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2015,-91
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2015,-13
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2015,-34
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2015,-42
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2015,-83
"All","All","per capita cash",2015,-71
"Age","62-69","per capita cash",2015,-64
"Age","70-74","per capita cash",2015,-104
"Age","75-79","per capita cash",2015,-91
"Age","80-84","per capita cash",2015,-66
"Age","85+","per capita cash",2015,-17
"Sex","Female","per capita cash",2015,-65
"Sex","Male","per capita cash",2015,-78
"Education","1.High School Dropout","per capita cash",2015,-38
"Education","2.High School Graduate","per capita cash",2015,-70
"Education","3.Some College","per capita cash",2015,-69
"Education","4.College Graduate","per capita cash",2015,-94
"Race Ethnicity","1.White","per capita cash",2015,-81
"Race Ethnicity","2.Black","per capita cash",2015,-48
"Race Ethnicity","3.Hispanic","per capita cash",2015,-37
"Race Ethnicity","4.Other","per capita cash",2015,-30
"Marital Status","Married","per capita cash",2015,-76
"Marital Status","Widowed","per capita cash",2015,-66
"Marital Status","Divorced","per capita cash",2015,-55
"Marital Status","Single","per capita cash",2015,-74
"Shared Work Years","0-9","per capita cash",2015,0
"Shared Work Years","10-14","per capita cash",2015,-4
"Shared Work Years","15-19","per capita cash",2015,-20
"Shared Work Years","20-24","per capita cash",2015,-35
"Shared Work Years","25-29","per capita cash",2015,-42
"Shared Work Years","30-34","per capita cash",2015,-43
"Shared Work Years","35-39","per capita cash",2015,-56
"Shared Work Years","40+","per capita cash",2015,-114
"Own Work Years","0-9","per capita cash",2015,-11
"Own Work Years","10-14","per capita cash",2015,-30
"Own Work Years","15-19","per capita cash",2015,-38
"Own Work Years","20-24","per capita cash",2015,-37
"Own Work Years","25-29","per capita cash",2015,-25
"Own Work Years","30-34","per capita cash",2015,-78
"Own Work Years","35-39","per capita cash",2015,-53
"Own Work Years","40+","per capita cash",2015,-101
"Shared Income Quintile","bottom quintile","per capita cash",2015,-7
"Shared Income Quintile","2nd quintile","per capita cash",2015,-55
"Shared Income Quintile","3rd quintile","per capita cash",2015,-56
"Shared Income Quintile","4th quintile","per capita cash",2015,-121
"Shared Income Quintile","top quintile","per capita cash",2015,-110
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2015,-12
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2015,-46
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2015,-70
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2015,-85
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2015,-140
"Homeownership","Home Owner","per capita cash",2015,-81
"Homeownership","Renter","per capita cash",2015,-30
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2015,1
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2015,-5
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2015,-11
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2015,-49
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2015,-44
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2015,-62
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2015,-61
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2015,-96
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2015,-20
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2015,-40
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2015,-47
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2015,-96
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2015,-20
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2015,-35
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2015,-41
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2015,-87
"All","All","net per capita annuity",2015,-52
"Age","62-69","net per capita annuity",2015,-44
"Age","70-74","net per capita annuity",2015,-81
"Age","75-79","net per capita annuity",2015,-64
"Age","80-84","net per capita annuity",2015,-54
"Age","85+","net per capita annuity",2015,-13
"Sex","Female","net per capita annuity",2015,-46
"Sex","Male","net per capita annuity",2015,-59
"Education","1.High School Dropout","net per capita annuity",2015,-32
"Education","2.High School Graduate","net per capita annuity",2015,-52
"Education","3.Some College","net per capita annuity",2015,-50
"Education","4.College Graduate","net per capita annuity",2015,-64
"Race Ethnicity","1.White","net per capita annuity",2015,-57
"Race Ethnicity","2.Black","net per capita annuity",2015,-43
"Race Ethnicity","3.Hispanic","net per capita annuity",2015,-34
"Race Ethnicity","4.Other","net per capita annuity",2015,-27
"Marital Status","Married","net per capita annuity",2015,-57
"Marital Status","Widowed","net per capita annuity",2015,-50
"Marital Status","Divorced","net per capita annuity",2015,-32
"Marital Status","Single","net per capita annuity",2015,-53
"Shared Work Years","0-9","net per capita annuity",2015,0
"Shared Work Years","10-14","net per capita annuity",2015,-4
"Shared Work Years","15-19","net per capita annuity",2015,-18
"Shared Work Years","20-24","net per capita annuity",2015,-36
"Shared Work Years","25-29","net per capita annuity",2015,-32
"Shared Work Years","30-34","net per capita annuity",2015,-43
"Shared Work Years","35-39","net per capita annuity",2015,-58
"Shared Work Years","40+","net per capita annuity",2015,-71
"Own Work Years","0-9","net per capita annuity",2015,-10
"Own Work Years","10-14","net per capita annuity",2015,-31
"Own Work Years","15-19","net per capita annuity",2015,-28
"Own Work Years","20-24","net per capita annuity",2015,-29
"Own Work Years","25-29","net per capita annuity",2015,-36
"Own Work Years","30-34","net per capita annuity",2015,-51
"Own Work Years","35-39","net per capita annuity",2015,-35
"Own Work Years","40+","net per capita annuity",2015,-72
"Shared Income Quintile","bottom quintile","net per capita annuity",2015,-10
"Shared Income Quintile","2nd quintile","net per capita annuity",2015,-45
"Shared Income Quintile","3rd quintile","net per capita annuity",2015,-49
"Shared Income Quintile","4th quintile","net per capita annuity",2015,-52
"Shared Income Quintile","top quintile","net per capita annuity",2015,-96
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2015,-12
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2015,-40
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita annuity",2015,-54
"Shared Lifetime Earnings Quintile","4th quintile","net per capita annuity",2015,-66
"Shared Lifetime Earnings Quintile","top quintile","net per capita annuity",2015,-88
"Homeownership","Home Owner","net per capita annuity",2015,-58
"Homeownership","Renter","net per capita annuity",2015,-26
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita annuity",2015,-1
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita annuity",2015,-10
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita annuity",2015,45
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita annuity",2015,-13
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita annuity",2015,-38
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2015,-61
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2015,-52
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita annuity",2015,-62
"Per Capita Financial Assets ($2015)","<0k","net per capita annuity",2015,-12
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita annuity",2015,-36
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita annuity",2015,-41
"Per Capita Financial Assets ($2015)","25k +","net per capita annuity",2015,-66
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita annuity",2015,-12
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2015,-32
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2015,-39
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita annuity",2015,-61
"All","All","net per capita cash",2015,-54
"Age","62-69","net per capita cash",2015,-50
"Age","70-74","net per capita cash",2015,-76
"Age","75-79","net per capita cash",2015,-70
"Age","80-84","net per capita cash",2015,-51
"Age","85+","net per capita cash",2015,-13
"Sex","Female","net per capita cash",2015,-51
"Sex","Male","net per capita cash",2015,-59
"Education","1.High School Dropout","net per capita cash",2015,-36
"Education","2.High School Graduate","net per capita cash",2015,-58
"Education","3.Some College","net per capita cash",2015,-55
"Education","4.College Graduate","net per capita cash",2015,-61
"Race Ethnicity","1.White","net per capita cash",2015,-61
"Race Ethnicity","2.Black","net per capita cash",2015,-41
"Race Ethnicity","3.Hispanic","net per capita cash",2015,-34
"Race Ethnicity","4.Other","net per capita cash",2015,-24
"Marital Status","Married","net per capita cash",2015,-61
"Marital Status","Widowed","net per capita cash",2015,-51
"Marital Status","Divorced","net per capita cash",2015,-33
"Marital Status","Single","net per capita cash",2015,-58
"Shared Work Years","0-9","net per capita cash",2015,0
"Shared Work Years","10-14","net per capita cash",2015,-4
"Shared Work Years","15-19","net per capita cash",2015,-18
"Shared Work Years","20-24","net per capita cash",2015,-29
"Shared Work Years","25-29","net per capita cash",2015,-38
"Shared Work Years","30-34","net per capita cash",2015,-32
"Shared Work Years","35-39","net per capita cash",2015,-50
"Shared Work Years","40+","net per capita cash",2015,-83
"Own Work Years","0-9","net per capita cash",2015,-10
"Own Work Years","10-14","net per capita cash",2015,-27
"Own Work Years","15-19","net per capita cash",2015,-33
"Own Work Years","20-24","net per capita cash",2015,-29
"Own Work Years","25-29","net per capita cash",2015,-24
"Own Work Years","30-34","net per capita cash",2015,-68
"Own Work Years","35-39","net per capita cash",2015,-43
"Own Work Years","40+","net per capita cash",2015,-74
"Shared Income Quintile","bottom quintile","net per capita cash",2015,-7
"Shared Income Quintile","2nd quintile","net per capita cash",2015,-52
"Shared Income Quintile","3rd quintile","net per capita cash",2015,-47
"Shared Income Quintile","4th quintile","net per capita cash",2015,-86
"Shared Income Quintile","top quintile","net per capita cash",2015,-76
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita cash",2015,-11
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita cash",2015,-42
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita cash",2015,-61
"Shared Lifetime Earnings Quintile","4th quintile","net per capita cash",2015,-67
"Shared Lifetime Earnings Quintile","top quintile","net per capita cash",2015,-90
"Homeownership","Home Owner","net per capita cash",2015,-62
"Homeownership","Renter","net per capita cash",2015,-25
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita cash",2015,3
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita cash",2015,-6
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita cash",2015,-10
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita cash",2015,-37
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita cash",2015,-38
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2015,-57
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2015,-53
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita cash",2015,-68
"Per Capita Financial Assets ($2015)","<0k","net per capita cash",2015,-19
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita cash",2015,-36
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita cash",2015,-39
"Per Capita Financial Assets ($2015)","25k +","net per capita cash",2015,-70
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita cash",2015,-19
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2015,-32
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2015,-37
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita cash",2015,-64
"All","All","per capita annuity",2025,-314
"Age","62-69","per capita annuity",2025,-325
"Age","70-74","per capita annuity",2025,-314
"Age","75-79","per capita annuity",2025,-346
"Age","80-84","per capita annuity",2025,-302
"Age","85+","per capita annuity",2025,-211
"Sex","Female","per capita annuity",2025,-276
"Sex","Male","per capita annuity",2025,-358
"Education","1.High School Dropout","per capita annuity",2025,76
"Education","2.High School Graduate","per capita annuity",2025,-240
"Education","3.Some College","per capita annuity",2025,-420
"Education","4.College Graduate","per capita annuity",2025,-500
"Race Ethnicity","1.White","per capita annuity",2025,-412
"Race Ethnicity","2.Black","per capita annuity",2025,-124
"Race Ethnicity","3.Hispanic","per capita annuity",2025,0
"Race Ethnicity","4.Other","per capita annuity",2025,-90
"Marital Status","Married","per capita annuity",2025,-435
"Marital Status","Widowed","per capita annuity",2025,-296
"Marital Status","Divorced","per capita annuity",2025,-58
"Marital Status","Single","per capita annuity",2025,25
"Shared Work Years","0-9","per capita annuity",2025,78
"Shared Work Years","10-14","per capita annuity",2025,479
"Shared Work Years","15-19","per capita annuity",2025,251
"Shared Work Years","20-24","per capita annuity",2025,7
"Shared Work Years","25-29","per capita annuity",2025,-129
"Shared Work Years","30-34","per capita annuity",2025,-255
"Shared Work Years","35-39","per capita annuity",2025,-347
"Shared Work Years","40+","per capita annuity",2025,-491
"Own Work Years","0-9","per capita annuity",2025,-26
"Own Work Years","10-14","per capita annuity",2025,184
"Own Work Years","15-19","per capita annuity",2025,209
"Own Work Years","20-24","per capita annuity",2025,-11
"Own Work Years","25-29","per capita annuity",2025,-74
"Own Work Years","30-34","per capita annuity",2025,-241
"Own Work Years","35-39","per capita annuity",2025,-320
"Own Work Years","40+","per capita annuity",2025,-481
"Shared Income Quintile","bottom quintile","per capita annuity",2025,295
"Shared Income Quintile","2nd quintile","per capita annuity",2025,-266
"Shared Income Quintile","3rd quintile","per capita annuity",2025,-411
"Shared Income Quintile","4th quintile","per capita annuity",2025,-486
"Shared Income Quintile","top quintile","per capita annuity",2025,-703
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2025,329
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2025,-267
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2025,-406
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2025,-502
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2025,-724
"Homeownership","Home Owner","per capita annuity",2025,-424
"Homeownership","Renter","per capita annuity",2025,117
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2025,281
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2025,-154
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2025,116
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2025,28
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2025,-1090
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2025,-3892
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2025,-280
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2025,-772
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2025,-272
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2025,-202
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2025,-219
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2025,-414
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2025,-559
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2025,-544
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2025,-213
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2025,-574
"All","All","per capita cash",2025,-353
"Age","62-69","per capita cash",2025,-409
"Age","70-74","per capita cash",2025,-334
"Age","75-79","per capita cash",2025,-336
"Age","80-84","per capita cash",2025,-314
"Age","85+","per capita cash",2025,-207
"Sex","Female","per capita cash",2025,-311
"Sex","Male","per capita cash",2025,-402
"Education","1.High School Dropout","per capita cash",2025,77
"Education","2.High School Graduate","per capita cash",2025,-262
"Education","3.Some College","per capita cash",2025,-477
"Education","4.College Graduate","per capita cash",2025,-564
"Race Ethnicity","1.White","per capita cash",2025,-456
"Race Ethnicity","2.Black","per capita cash",2025,-136
"Race Ethnicity","3.Hispanic","per capita cash",2025,-33
"Race Ethnicity","4.Other","per capita cash",2025,-126
"Marital Status","Married","per capita cash",2025,-479
"Marital Status","Widowed","per capita cash",2025,-320
"Marital Status","Divorced","per capita cash",2025,-100
"Marital Status","Single","per capita cash",2025,-15
"Shared Work Years","0-9","per capita cash",2025,58
"Shared Work Years","10-14","per capita cash",2025,473
"Shared Work Years","15-19","per capita cash",2025,233
"Shared Work Years","20-24","per capita cash",2025,-13
"Shared Work Years","25-29","per capita cash",2025,-126
"Shared Work Years","30-34","per capita cash",2025,-277
"Shared Work Years","35-39","per capita cash",2025,-389
"Shared Work Years","40+","per capita cash",2025,-547
"Own Work Years","0-9","per capita cash",2025,-33
"Own Work Years","10-14","per capita cash",2025,151
"Own Work Years","15-19","per capita cash",2025,224
"Own Work Years","20-24","per capita cash",2025,-40
"Own Work Years","25-29","per capita cash",2025,-98
"Own Work Years","30-34","per capita cash",2025,-271
"Own Work Years","35-39","per capita cash",2025,-346
"Own Work Years","40+","per capita cash",2025,-535
"Shared Income Quintile","bottom quintile","per capita cash",2025,357
"Shared Income Quintile","2nd quintile","per capita cash",2025,-348
"Shared Income Quintile","3rd quintile","per capita cash",2025,-392
"Shared Income Quintile","4th quintile","per capita cash",2025,-589
"Shared Income Quintile","top quintile","per capita cash",2025,-795
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2025,320
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2025,-291
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2025,-428
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2025,-541
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2025,-826
"Homeownership","Home Owner","per capita cash",2025,-469
"Homeownership","Renter","per capita cash",2025,100
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2025,90
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2025,-145
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2025,-92
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2025,-212
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2025,-1184
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2025,-1538
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2025,124
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2025,-648
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2025,-281
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2025,-154
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2025,-245
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2025,-484
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2025,-551
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2025,-459
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2025,-188
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2025,-520
"All","All","net per capita annuity",2025,-279
"Age","62-69","net per capita annuity",2025,-293
"Age","70-74","net per capita annuity",2025,-259
"Age","75-79","net per capita annuity",2025,-316
"Age","80-84","net per capita annuity",2025,-274
"Age","85+","net per capita annuity",2025,-193
"Sex","Female","net per capita annuity",2025,-246
"Sex","Male","net per capita annuity",2025,-316
"Education","1.High School Dropout","net per capita annuity",2025,79
"Education","2.High School Graduate","net per capita annuity",2025,-212
"Education","3.Some College","net per capita annuity",2025,-368
"Education","4.College Graduate","net per capita annuity",2025,-454
"Race Ethnicity","1.White","net per capita annuity",2025,-369
"Race Ethnicity","2.Black","net per capita annuity",2025,-115
"Race Ethnicity","3.Hispanic","net per capita annuity",2025,28
"Race Ethnicity","4.Other","net per capita annuity",2025,-77
"Marital Status","Married","net per capita annuity",2025,-390
"Marital Status","Widowed","net per capita annuity",2025,-266
"Marital Status","Divorced","net per capita annuity",2025,-35
"Marital Status","Single","net per capita annuity",2025,25
"Shared Work Years","0-9","net per capita annuity",2025,76
"Shared Work Years","10-14","net per capita annuity",2025,476
"Shared Work Years","15-19","net per capita annuity",2025,258
"Shared Work Years","20-24","net per capita annuity",2025,14
"Shared Work Years","25-29","net per capita annuity",2025,-114
"Shared Work Years","30-34","net per capita annuity",2025,-225
"Shared Work Years","35-39","net per capita annuity",2025,-320
"Shared Work Years","40+","net per capita annuity",2025,-440
"Own Work Years","0-9","net per capita annuity",2025,-25
"Own Work Years","10-14","net per capita annuity",2025,194
"Own Work Years","15-19","net per capita annuity",2025,211
"Own Work Years","20-24","net per capita annuity",2025,5
"Own Work Years","25-29","net per capita annuity",2025,-54
"Own Work Years","30-34","net per capita annuity",2025,-212
"Own Work Years","35-39","net per capita annuity",2025,-301
"Own Work Years","40+","net per capita annuity",2025,-430
"Shared Income Quintile","bottom quintile","net per capita annuity",2025,292
"Shared Income Quintile","2nd quintile","net per capita annuity",2025,-256
"Shared Income Quintile","3rd quintile","net per capita annuity",2025,-390
"Shared Income Quintile","4th quintile","net per capita annuity",2025,-424
"Shared Income Quintile","top quintile","net per capita annuity",2025,-615
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2025,325
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2025,-255
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita annuity",2025,-383
"Shared Lifetime Earnings Quintile","4th quintile","net per capita annuity",2025,-439
"Shared Lifetime Earnings Quintile","top quintile","net per capita annuity",2025,-641
"Homeownership","Home Owner","net per capita annuity",2025,-382
"Homeownership","Renter","net per capita annuity",2025,124
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita annuity",2025,272
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita annuity",2025,-157
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita annuity",2025,87
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita annuity",2025,-17
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita annuity",2025,-801
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2025,-3770
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2025,-438
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita annuity",2025,-711
"Per Capita Financial Assets ($2015)","<0k","net per capita annuity",2025,-217
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita annuity",2025,-208
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita annuity",2025,-185
"Per Capita Financial Assets ($2015)","25k +","net per capita annuity",2025,-370
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita annuity",2025,-446
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2025,-492
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2025,-149
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita annuity",2025,-523
"All","All","net per capita cash",2025,-318
"Age","62-69","net per capita cash",2025,-376
"Age","70-74","net per capita cash",2025,-278
"Age","75-79","net per capita cash",2025,-306
"Age","80-84","net per capita cash",2025,-286
"Age","85+","net per capita cash",2025,-188
"Sex","Female","net per capita cash",2025,-281
"Sex","Male","net per capita cash",2025,-360
"Education","1.High School Dropout","net per capita cash",2025,80
"Education","2.High School Graduate","net per capita cash",2025,-234
"Education","3.Some College","net per capita cash",2025,-425
"Education","4.College Graduate","net per capita cash",2025,-519
"Race Ethnicity","1.White","net per capita cash",2025,-414
"Race Ethnicity","2.Black","net per capita cash",2025,-128
"Race Ethnicity","3.Hispanic","net per capita cash",2025,-5
"Race Ethnicity","4.Other","net per capita cash",2025,-113
"Marital Status","Married","net per capita cash",2025,-433
"Marital Status","Widowed","net per capita cash",2025,-290
"Marital Status","Divorced","net per capita cash",2025,-76
"Marital Status","Single","net per capita cash",2025,-16
"Shared Work Years","0-9","net per capita cash",2025,56
"Shared Work Years","10-14","net per capita cash",2025,470
"Shared Work Years","15-19","net per capita cash",2025,240
"Shared Work Years","20-24","net per capita cash",2025,-5
"Shared Work Years","25-29","net per capita cash",2025,-111
"Shared Work Years","30-34","net per capita cash",2025,-246
