"category","group","measure","year","value"
"Homeownership","Renter","per capita cash",2015,21046.124
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2015,7017.601
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2015,15240.36
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2015,25229.919
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2015,64346.77
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2015,20649.498
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2015,26167.215
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2015,30286.919
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2015,54565.761
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2015,13479.092
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2015,22353.944
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2015,29543.14
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2015,48602.029
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2015,12606.564
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2015,17006.668
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2015,21625.108
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2015,46372.042
"All","All","net per capita annuity",2015,51488.681
"Age","62-69","net per capita annuity",2015,52043.23
"Age","70-74","net per capita annuity",2015,53679.48
"Age","75-79","net per capita annuity",2015,49237.992
"Age","80-84","net per capita annuity",2015,54101.662
"Age","85+","net per capita annuity",2015,44978.577
"Sex","Female","net per capita annuity",2015,47298.394
"Sex","Male","net per capita annuity",2015,56558.536
"Education","1.High School Dropout","net per capita annuity",2015,22171.963
"Education","2.High School Graduate","net per capita annuity",2015,38064.803
"Education","3.Some College","net per capita annuity",2015,52846.207
"Education","4.College Graduate","net per capita annuity",2015,86869.919
"Race Ethnicity","1.White","net per capita annuity",2015,58816.807
"Race Ethnicity","2.Black","net per capita annuity",2015,27554.793
"Race Ethnicity","3.Hispanic","net per capita annuity",2015,23157.044
"Race Ethnicity","4.Other","net per capita annuity",2015,43621.041
"Marital Status","Married","net per capita annuity",2015,52799.373
"Marital Status","Widowed","net per capita annuity",2015,50615.967
"Marital Status","Divorced","net per capita annuity",2015,51607.549
"Marital Status","Single","net per capita annuity",2015,42508.033
"Shared Work Years","0-9","net per capita annuity",2015,6955.94
"Shared Work Years","10-14","net per capita annuity",2015,20622.302
"Shared Work Years","15-19","net per capita annuity",2015,27539.235
"Shared Work Years","20-24","net per capita annuity",2015,31471.125
"Shared Work Years","25-29","net per capita annuity",2015,40269.824
"Shared Work Years","30-34","net per capita annuity",2015,45252.453
"Shared Work Years","35-39","net per capita annuity",2015,49502.745
"Shared Work Years","40+","net per capita annuity",2015,69014.22
"Own Work Years","0-9","net per capita annuity",2015,20538.49
"Own Work Years","10-14","net per capita annuity",2015,28130.867
"Own Work Years","15-19","net per capita annuity",2015,34704.831
"Own Work Years","20-24","net per capita annuity",2015,33863.493
"Own Work Years","25-29","net per capita annuity",2015,38802.892
"Own Work Years","30-34","net per capita annuity",2015,43050.548
"Own Work Years","35-39","net per capita annuity",2015,48717.162
"Own Work Years","40+","net per capita annuity",2015,66304.302
"Shared Income Quintile","bottom quintile","net per capita annuity",2015,8634.614
"Shared Income Quintile","2nd quintile","net per capita annuity",2015,21589.038
"Shared Income Quintile","3rd quintile","net per capita annuity",2015,34625.599
"Shared Income Quintile","4th quintile","net per capita annuity",2015,54094.135
"Shared Income Quintile","top quintile","net per capita annuity",2015,138514.462
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2015,15256.209
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2015,32051.53
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita annuity",2015,41793.279
"Shared Lifetime Earnings Quintile","4th quintile","net per capita annuity",2015,57682.758
"Shared Lifetime Earnings Quintile","top quintile","net per capita annuity",2015,110666.045
"Homeownership","Home Owner","net per capita annuity",2015,57969.267
"Homeownership","Renter","net per capita annuity",2015,25765.028
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita annuity",2015,9872.032
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita annuity",2015,21749.706
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita annuity",2015,39726.951
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita annuity",2015,82991.036
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita annuity",2015,25760.185
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2015,33945.259
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2015,38648.56
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita annuity",2015,76776.43
"Per Capita Financial Assets ($2015)","<0k","net per capita annuity",2015,11846.416
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita annuity",2015,21745.999
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita annuity",2015,29821.073
"Per Capita Financial Assets ($2015)","25k +","net per capita annuity",2015,73393.036
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita annuity",2015,10998.823
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2015,16372.415
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2015,21511.429
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita annuity",2015,66097.87
"All","All","net per capita cash",2015,30820.112
"Age","62-69","net per capita cash",2015,32987.152
"Age","70-74","net per capita cash",2015,33625.984
"Age","75-79","net per capita cash",2015,29426.73
"Age","80-84","net per capita cash",2015,26505.528
"Age","85+","net per capita cash",2015,21206.226
"Sex","Female","net per capita cash",2015,29246.746
"Sex","Male","net per capita cash",2015,32723.738
"Education","1.High School Dropout","net per capita cash",2015,15172.79
"Education","2.High School Graduate","net per capita cash",2015,25269.556
"Education","3.Some College","net per capita cash",2015,34180.702
"Education","4.College Graduate","net per capita cash",2015,45407.267
"Race Ethnicity","1.White","net per capita cash",2015,34033.628
"Race Ethnicity","2.Black","net per capita cash",2015,22657.879
"Race Ethnicity","3.Hispanic","net per capita cash",2015,17470.1
"Race Ethnicity","4.Other","net per capita cash",2015,24659.701
"Marital Status","Married","net per capita cash",2015,32177.035
"Marital Status","Widowed","net per capita cash",2015,29038.073
"Marital Status","Divorced","net per capita cash",2015,29676.598
"Marital Status","Single","net per capita cash",2015,27151.924
"Shared Work Years","0-9","net per capita cash",2015,5315.257
"Shared Work Years","10-14","net per capita cash",2015,11971.548
"Shared Work Years","15-19","net per capita cash",2015,16077.274
"Shared Work Years","20-24","net per capita cash",2015,19071.546
"Shared Work Years","25-29","net per capita cash",2015,22465.716
"Shared Work Years","30-34","net per capita cash",2015,26341.416
"Shared Work Years","35-39","net per capita cash",2015,30583.678
"Shared Work Years","40+","net per capita cash",2015,41410.266
"Own Work Years","0-9","net per capita cash",2015,11515.614
"Own Work Years","10-14","net per capita cash",2015,17165.491
"Own Work Years","15-19","net per capita cash",2015,19500.609
"Own Work Years","20-24","net per capita cash",2015,21474.628
"Own Work Years","25-29","net per capita cash",2015,23295.558
"Own Work Years","30-34","net per capita cash",2015,27563.582
"Own Work Years","35-39","net per capita cash",2015,29146.306
"Own Work Years","40+","net per capita cash",2015,39444.508
"Shared Income Quintile","bottom quintile","net per capita cash",2015,7326.698
"Shared Income Quintile","2nd quintile","net per capita cash",2015,17230.407
"Shared Income Quintile","3rd quintile","net per capita cash",2015,26040.463
"Shared Income Quintile","4th quintile","net per capita cash",2015,37791.157
"Shared Income Quintile","top quintile","net per capita cash",2015,65719.592
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita cash",2015,11263.046
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita cash",2015,21051.544
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita cash",2015,27720.483
"Shared Lifetime Earnings Quintile","4th quintile","net per capita cash",2015,36784.172
"Shared Lifetime Earnings Quintile","top quintile","net per capita cash",2015,57284.732
"Homeownership","Home Owner","net per capita cash",2015,34144.953
"Homeownership","Renter","net per capita cash",2015,17622.687
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita cash",2015,5153.589
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita cash",2015,13270.277
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita cash",2015,22425.585
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita cash",2015,50692.783
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita cash",2015,17529.324
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2015,22160.124
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2015,25777.388
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita cash",2015,43435.634
"Per Capita Financial Assets ($2015)","<0k","net per capita cash",2015,11076.244
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita cash",2015,19179.46
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita cash",2015,25008.172
"Per Capita Financial Assets ($2015)","25k +","net per capita cash",2015,38870.092
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita cash",2015,10361.581
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2015,14537.844
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2015,18557.694
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita cash",2015,37428.258
"All","All","per capita annuity",2025,63084.693
"Age","62-69","per capita annuity",2025,59232.488
"Age","70-74","per capita annuity",2025,65639.568
"Age","75-79","per capita annuity",2025,63966.774
"Age","80-84","per capita annuity",2025,68902.635
"Age","85+","per capita annuity",2025,67276.757
"Sex","Female","per capita annuity",2025,60947.399
"Sex","Male","per capita annuity",2025,65575.739
"Education","1.High School Dropout","per capita annuity",2025,23526.762
"Education","2.High School Graduate","per capita annuity",2025,44105.352
"Education","3.Some College","per capita annuity",2025,62216.673
"Education","4.College Graduate","per capita annuity",2025,104893.148
"Race Ethnicity","1.White","per capita annuity",2025,72840.71
"Race Ethnicity","2.Black","per capita annuity",2025,36314.198
"Race Ethnicity","3.Hispanic","per capita annuity",2025,31181.149
"Race Ethnicity","4.Other","per capita annuity",2025,55657.043
"Marital Status","Married","per capita annuity",2025,63532.127
"Marital Status","Widowed","per capita annuity",2025,68791.744
"Marital Status","Divorced","per capita annuity",2025,58896.256
"Marital Status","Single","per capita annuity",2025,54747.837
"Shared Work Years","0-9","per capita annuity",2025,8677.094
"Shared Work Years","10-14","per capita annuity",2025,20207.374
"Shared Work Years","15-19","per capita annuity",2025,30507.519
"Shared Work Years","20-24","per capita annuity",2025,33069.477
"Shared Work Years","25-29","per capita annuity",2025,42771.285
"Shared Work Years","30-34","per capita annuity",2025,49151.634
"Shared Work Years","35-39","per capita annuity",2025,56894.646
"Shared Work Years","40+","per capita annuity",2025,82621.06
"Own Work Years","0-9","per capita annuity",2025,22505.212
"Own Work Years","10-14","per capita annuity",2025,29573.469
"Own Work Years","15-19","per capita annuity",2025,39151.267
"Own Work Years","20-24","per capita annuity",2025,38477.765
"Own Work Years","25-29","per capita annuity",2025,42660.593
"Own Work Years","30-34","per capita annuity",2025,46351.714
"Own Work Years","35-39","per capita annuity",2025,52135.772
"Own Work Years","40+","per capita annuity",2025,80499.462
"Shared Income Quintile","bottom quintile","per capita annuity",2025,11361.992
"Shared Income Quintile","2nd quintile","per capita annuity",2025,25145.222
"Shared Income Quintile","3rd quintile","per capita annuity",2025,40642.101
"Shared Income Quintile","4th quintile","per capita annuity",2025,65353.184
"Shared Income Quintile","top quintile","per capita annuity",2025,172932.296
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2025,17755.286
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2025,34914.543
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2025,49035.26
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2025,71281.656
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2025,142439.366
"Homeownership","Home Owner","per capita annuity",2025,71481.897
"Homeownership","Renter","per capita annuity",2025,30367.347
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2025,11856.229
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2025,22303.009
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2025,40699.337
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2025,100663.651
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2025,27266.614
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2025,32175.859
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2025,41845.435
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2025,91977.842
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2025,14396.411
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2025,27050.761
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2025,35832.434
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2025,87231.546
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2025,12449.277
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2025,18729.113
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2025,23761.429
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2025,78200.765
"All","All","per capita cash",2025,40742.568
"Age","62-69","per capita cash",2025,41717.615
"Age","70-74","per capita cash",2025,44833.284
"Age","75-79","per capita cash",2025,40355.011
"Age","80-84","per capita cash",2025,36867.379
"Age","85+","per capita cash",2025,31336.527
"Sex","Female","per capita cash",2025,40435.798
"Sex","Male","per capita cash",2025,41100.113
"Education","1.High School Dropout","per capita cash",2025,18123.575
"Education","2.High School Graduate","per capita cash",2025,31864.806
"Education","3.Some College","per capita cash",2025,43342.053
"Education","4.College Graduate","per capita cash",2025,59842.152
"Race Ethnicity","1.White","per capita cash",2025,45510.732
"Race Ethnicity","2.Black","per capita cash",2025,30367.927
"Race Ethnicity","3.Hispanic","per capita cash",2025,24184.463
"Race Ethnicity","4.Other","per capita cash",2025,34299.653
"Marital Status","Married","per capita cash",2025,41417.608
"Marital Status","Widowed","per capita cash",2025,40658.729
"Marital Status","Divorced","per capita cash",2025,38859.535
"Marital Status","Single","per capita cash",2025,39541.376
"Shared Work Years","0-9","per capita cash",2025,7458.344
"Shared Work Years","10-14","per capita cash",2025,15338.313
"Shared Work Years","15-19","per capita cash",2025,20293.627
"Shared Work Years","20-24","per capita cash",2025,22089.967
"Shared Work Years","25-29","per capita cash",2025,28117.786
"Shared Work Years","30-34","per capita cash",2025,32261.939
"Shared Work Years","35-39","per capita cash",2025,37058.03
"Shared Work Years","40+","per capita cash",2025,52714.412
"Own Work Years","0-9","per capita cash",2025,14308.658
"Own Work Years","10-14","per capita cash",2025,21214.632
"Own Work Years","15-19","per capita cash",2025,23767.745
"Own Work Years","20-24","per capita cash",2025,25938.943
"Own Work Years","25-29","per capita cash",2025,28002.842
"Own Work Years","30-34","per capita cash",2025,31862.871
"Own Work Years","35-39","per capita cash",2025,35474.514
"Own Work Years","40+","per capita cash",2025,51257.168
"Shared Income Quintile","bottom quintile","per capita cash",2025,10146.64
"Shared Income Quintile","2nd quintile","per capita cash",2025,20877.992
"Shared Income Quintile","3rd quintile","per capita cash",2025,32405.782
"Shared Income Quintile","4th quintile","per capita cash",2025,49158.113
"Shared Income Quintile","top quintile","per capita cash",2025,91131.095
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2025,14343.618
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2025,26271.585
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2025,35669.778
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2025,48944.744
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2025,78484.68
"Homeownership","Home Owner","per capita cash",2025,45277.551
"Homeownership","Renter","per capita cash",2025,23073.283
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2025,6789.939
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2025,15232.042
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2025,25587.552
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2025,65250.253
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2025,20158.694
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2025,24096.754
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2025,30714.408
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2025,56672.286
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2025,13597.921
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2025,23901.275
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2025,31638.603
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2025,51123.951
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2025,11871.695
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2025,16938.736
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2025,20982.994
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2025,48751.844
"All","All","net per capita annuity",2025,55186.61
"Age","62-69","net per capita annuity",2025,50288.165
"Age","70-74","net per capita annuity",2025,56874.551
"Age","75-79","net per capita annuity",2025,56842.862
"Age","80-84","net per capita annuity",2025,63019.479
"Age","85+","net per capita annuity",2025,62787.6
"Sex","Female","net per capita annuity",2025,53080.452
"Sex","Male","net per capita annuity",2025,57641.368
"Education","1.High School Dropout","net per capita annuity",2025,20110.256
"Education","2.High School Graduate","net per capita annuity",2025,38653.578
"Education","3.Some College","net per capita annuity",2025,54066.657
"Education","4.College Graduate","net per capita annuity",2025,92183.071
"Race Ethnicity","1.White","net per capita annuity",2025,63976.702
"Race Ethnicity","2.Black","net per capita annuity",2025,30846.335
"Race Ethnicity","3.Hispanic","net per capita annuity",2025,26370.414
"Race Ethnicity","4.Other","net per capita annuity",2025,49014.638
"Marital Status","Married","net per capita annuity",2025,55207.93
"Marital Status","Widowed","net per capita annuity",2025,62014.352
"Marital Status","Divorced","net per capita annuity",2025,51613.429
"Marital Status","Single","net per capita annuity",2025,46254.939
"Shared Work Years","0-9","net per capita annuity",2025,6069.726
"Shared Work Years","10-14","net per capita annuity",2025,16862.398
"Shared Work Years","15-19","net per capita annuity",2025,26841.864
"Shared Work Years","20-24","net per capita annuity",2025,29163.393
"Shared Work Years","25-29","net per capita annuity",2025,37944.841
"Shared Work Years","30-34","net per capita annuity",2025,43589.49
"Shared Work Years","35-39","net per capita annuity",2025,50230.785
"Shared Work Years","40+","net per capita annuity",2025,72079.526
"Own Work Years","0-9","net per capita annuity",2025,19276.974
"Own Work Years","10-14","net per capita annuity",2025,25652.682
"Own Work Years","15-19","net per capita annuity",2025,34998.591
"Own Work Years","20-24","net per capita annuity",2025,33761.944
"Own Work Years","25-29","net per capita annuity",2025,37889.566
"Own Work Years","30-34","net per capita annuity",2025,40842.637
"Own Work Years","35-39","net per capita annuity",2025,45660.145
"Own Work Years","40+","net per capita annuity",2025,70306.901
"Shared Income Quintile","bottom quintile","net per capita annuity",2025,8920.101
"Shared Income Quintile","2nd quintile","net per capita annuity",2025,22212.014
"Shared Income Quintile","3rd quintile","net per capita annuity",2025,36105.787
"Shared Income Quintile","4th quintile","net per capita annuity",2025,57156.912
"Shared Income Quintile","top quintile","net per capita annuity",2025,151548.532
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2025,14819.393
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2025,30682.158
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita annuity",2025,43267.538
"Shared Lifetime Earnings Quintile","4th quintile","net per capita annuity",2025,62667.733
"Shared Lifetime Earnings Quintile","top quintile","net per capita annuity",2025,124498.562
"Homeownership","Home Owner","net per capita annuity",2025,62666.667
"Homeownership","Renter","net per capita annuity",2025,26042.675
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita annuity",2025,9439.082
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita annuity",2025,19814.201
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita annuity",2025,37298.289
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita annuity",2025,87030.317
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita annuity",2025,23707.317
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2025,27960.54
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2025,36758.317
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita annuity",2025,80530.659
"Per Capita Financial Assets ($2015)","<0k","net per capita annuity",2025,11392.858
